0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
33,28,1
121,0,110
68,0,97
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
11,0,0
98,84,0
253,186,70
255,139,255
157,83,179
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,23,0
160,98,0
255,237,52
255,255,218
204,255,255
28,143,160
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,19,0
40,94,0
208,255,0
255,255,41
255,255,244
145,255,255
3,255,240
0,50,35
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
39,117,0
216,255,0
255,255,27
245,255,231
98,255,255
3,255,255
0,255,114
0,50,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,9,0
91,195,0
227,246,0
255,255,24
251,255,229
69,255,255
0,255,255
0,255,197
0,255,2
0,50,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,47,0
31,144,0
238,255,0
255,255,53
219,255,224
53,255,255
0,255,255
0,255,202
0,255,9
0,185,0
0,27,0
0,0,0
0,0,0
0,0,0
0,0,0
0,38,0
4,214,0
185,255,0
255,255,60
232,255,221
63,255,255
0,255,255
0,255,207
0,255,17
0,179,0
0,27,0
0,0,0
0,0,0
0,0,0
0,0,0
0,28,0
0,255,0
165,255,0
255,255,51
255,255,239
64,255,255
0,255,255
0,255,184
0,255,20
0,147,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,84,0
0,186,0
102,255,0
254,255,70
252,255,241
142,255,255
0,255,255
0,255,171
0,226,17
0,115,0
0,0,0
0,0,0
0,0,0
0,0,0
0,51,0
0,209,0
0,237,0
38,255,2
241,255,89
255,255,248
145,250,255
0,231,254
0,46,181
0,46,6
0,36,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,153,0
0,255,0
32,255,3
221,255,147
255,255,255
215,255,255
14,167,237
0,0,124
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,153,0
2,255,43
123,255,139
255,255,255
158,255,255
17,190,194
0,37,34
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
12,134,46
114,255,244
255,255,255
208,255,239
15,170,107
0,13,15
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
151,28,169
242,138,199
202,232,246
18,138,57
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
101,0,82
54,0,9
13,55,19
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
